code,lat,lng,value
936016886,-23.4757653,-46.7269431,26
3347746099,-23.6425212,-46.7382989,28
1665833182,-23.5097694,-46.4164344,28
25870033,-23.5865943,-46.5983638,23
1665844598,-23.5035308,-46.4284676,33
1313524917,-23.6541025,-46.6355879,21
1313524966,-23.6583805,-46.6343888,49
1313524999,-23.655761,-46.6346278,37
1665847314,-23.5363543,-46.4035971,21
25876382,-23.5180663,-46.6300706,130
5725936924,-23.4724066,-46.5629898,35
1103814834,-23.6655925,-46.6311061,21
5998568355,-23.6528814,-46.6509465,29
705362750,-23.5964984,-46.5648183,36
1837828169,-23.5127066,-46.4331859,27
1317734520,-23.6765872,-46.6417705,23
1317735031,-23.6776036,-46.640783,24
936063563,-23.4631441,-46.7205033,47
1665888316,-23.5352235,-46.4279564,25
302743240,-23.6027723,-46.6809353,22
1837867588,-23.5180663,-46.3860731,32
1837867622,-23.5183982,-46.3878669,43
1837867699,-23.5192132,-46.3869086,21
25928388,-23.5344934,-46.6330581,26
1837867810,-23.5211559,-46.3996988,41
1837867814,-23.5210932,-46.3867921,21
6363523250,-23.7063138,-46.6414981,22
2538318460,-23.6642252,-46.6600779,54
1665906505,-23.5425977,-46.4098905,42
206291886,-23.5363408,-46.6834588,21
1108068182,-23.65061,-46.6670854,21
1108068244,-23.649966,-46.6487347,28
1640744909,-23.5137059,-46.7267712,84
1640744913,-23.5138151,-46.7266733,179
1108068507,-23.6498641,-46.6595013,24
1108068551,-23.6563684,-46.6533242,31
1108068623,-23.6516761,-46.6523765,21
3901480362,-23.5467441,-46.5740398,25
3901480366,-23.5480796,-46.5731833,34
667673921,-23.6591577,-46.6568935,27
5319160515,-23.6382815,-46.7367952,36
1804343792,-23.4563,-46.7196113,22
1368136246,-23.6804854,-46.6544508,34
1368141049,-23.6913191,-46.6614465,21
1368141203,-23.6915589,-46.66215,36
1368141518,-23.6923061,-46.6613397,24
1368141547,-23.6923836,-46.6649239,28
1368141569,-23.6924034,-46.6597203,68
1368142012,-23.693226,-46.6654488,69
5432422719,-23.6283246,-46.4633307,27
1368142313,-23.6939784,-46.6558041,51
1368142416,-23.6942065,-46.6555022,34
1368142881,-23.6955882,-46.6512448,23
1368142994,-23.6963481,-46.6686913,40
1368143008,-23.6964567,-46.6698817,30
1368143124,-23.6968677,-46.6741427,34
1368143765,-23.6979889,-46.6598647,23
5432432675,-23.6329362,-46.4614161,27
